,time,maxCapacity,startingCapacity,current,batteryPercentage,remainingCapacity
0,1639505929.5459719,18720.000000000004,0.0,0.0,0.0,0.0
1,1639505929.758656,18720.000000000004,4867.200000000001,1.54067462682724,26.0,4866.8723229196185
2,1639505929.9587076,18720.000000000004,4867.200000000001,1.4698660254478455,26.0,4866.571191263581
3,1639505930.1585407,18720.000000000004,4867.200000000001,1.5561640202999114,26.0,4866.268840698484
4,1639505930.3587694,18720.000000000004,4867.200000000001,1.480929720401764,26.0,4865.9647840462585
5,1639505930.5585535,18720.000000000004,4867.200000000001,1.2596530199050904,27.0,4865.691021699734
6,1639505930.758619,18720.000000000004,4867.200000000001,1.3016955256462097,28.0,4865.434802816563
7,1639505930.9589844,18720.000000000004,4867.200000000001,1.3393127202987671,27.0,4865.17021960528
8,1639505931.1615558,18720.000000000004,4867.200000000001,1.4189722299575807,27.0,4864.890844794245
9,1639505931.359037,18720.000000000004,4867.200000000001,1.4410997211933136,27.0,4864.608439637531
10,1639505931.5589962,18720.000000000004,4867.200000000001,1.3813551306724547,27.0,4864.326251620197
11,1639505931.758647,18720.000000000004,4867.200000000001,1.5451000332832336,27.0,4864.034117114868
12,1639505931.95849,18720.000000000004,4867.200000000001,1.775227928161621,25.0,4863.702345080946
13,1639505932.1587296,18720.000000000004,4867.200000000001,1.6999940276145935,25.0,4863.3544064523785
14,1639505932.358706,18720.000000000004,4867.200000000001,1.6402491331100464,25.0,4863.020421477282
15,1639505932.5588276,18720.000000000004,4867.200000000001,1.635823631286621,26.0,4862.692614948198
16,1639505932.75905,18720.000000000004,4867.200000000001,1.622546911239624,26.0,4862.366415801329
17,1639505932.9588852,18720.000000000004,4867.200000000001,1.6623767256736754,26.0,4862.038193950368
18,1639505933.1588001,18720.000000000004,4867.200000000001,1.4344616293907166,27.0,4861.728641835395
19,1639505933.3588192,18720.000000000004,4867.200000000001,1.5141213297843934,27.0,4861.4337553493
20,1639505933.5583563,18720.000000000004,4867.200000000001,1.6778662204742432,26.0,4861.1152954774625
21,1639505933.7581973,18720.000000000004,4867.200000000001,1.6402490258216857,25.0,4860.78374770568
22,1639505933.958582,18720.000000000004,4867.200000000001,1.7110578060150146,26.0,4860.447972537955
23,1639505934.158721,18720.000000000004,4867.200000000001,3.1847612261772156,24.0,4859.958050263406
24,1639505934.3582983,18720.000000000004,4867.200000000001,6.936510181427002,17.0,4858.94806209373
25,1639505934.5581825,18720.000000000004,4867.200000000001,9.074597668647765,10.0,4857.347878541965
26,1639505934.7585125,18720.000000000004,4867.200000000001,8.054234957695007,11.0,4855.632168859247
27,1639505934.9587958,18720.000000000004,4867.200000000001,5.493508449196815,14.0,4854.275475555517
28,1639505935.1587489,18720.000000000004,4867.200000000001,2.9252831101417542,21.0,4853.433793907701
29,1639505935.3581522,18720.000000000004,4867.200000000001,2.1248453974723818,22.0,4852.930287798181
30,1639505935.5586116,18720.000000000004,4867.200000000001,1.3076111316680907,26.0,4852.5862535722135
31,1639505935.7587507,18720.000000000004,4867.200000000001,1.2043336153030395,26.0,4852.3348844599395
32,1639505935.9687867,18720.000000000004,4867.200000000001,1.5451000213623047,26.0,4852.046144384186
33,1639505936.168725,18720.000000000004,4867.200000000001,3.408081424236298,19.0,4851.550979052031
34,1639505936.3689861,18720.000000000004,4867.200000000001,7.441297912597657,8.0,4850.464624644929
35,1639505936.5685706,18720.000000000004,4867.200000000001,7.410042333602905,8.0,4848.982576104311
36,1639505936.7719734,18720.000000000004,4867.200000000001,1.487568098306656,25.0,4848.077676855162
37,1639505936.9682586,18720.000000000004,4867.200000000001,1.7619513154029847,25.0,4847.758760493482
38,1639505937.1684847,18720.000000000004,4867.200000000001,1.6092702269554138,22.0,4847.421257275753
39,1639505937.368372,18720.000000000004,4867.200000000001,1.770802414417267,23.0,4847.083440519785
40,1639505937.568835,18720.000000000004,4867.200000000001,1.7331854224205017,24.0,4846.732230463816
41,1639505937.7687144,18720.000000000004,4867.200000000001,1.6645894289016723,25.0,4846.392657851116
42,1639505937.9682748,18720.000000000004,4867.200000000001,1.5893555164337159,25.0,4846.06797856746
43,1639505938.1687093,18720.000000000004,4867.200000000001,1.5539512097835542,25.0,4845.752965095795
44,1639505938.3687375,18720.000000000004,4867.200000000001,1.5473128318786622,25.0,4845.44279499315
45,1639505938.5688264,18720.000000000004,4867.200000000001,1.6867173314094543,25.0,4845.119248098354
46,1639505938.8050911,18720.000000000004,4867.200000000001,1.8482493996620177,25.0,4844.70165416124
47,1639505938.9686313,18720.000000000004,4867.200000000001,1.5805042386054993,25.0,4844.421284762125
48,1639505939.1706667,18720.000000000004,4867.200000000001,1.4056957095861435,27.0,4844.119625671165
49,1639505939.3686974,18720.000000000004,4867.200000000001,1.5605892300605775,26.0,4843.825917914508
50,1639505939.569879,18720.000000000004,4867.200000000001,1.525184941291809,27.0,4843.515517344598
51,1639505939.768645,18720.000000000004,4867.200000000001,1.4499510198831558,26.0,4843.219839417606
52,1639505939.977154,18720.000000000004,4867.200000000001,1.8017811179161072,24.0,4842.880831760899
53,1639505940.1866202,18720.000000000004,4867.200000000001,1.4942063301801682,25.0,4842.5356327466725
54,1639505940.3686984,18720.000000000004,4867.200000000001,1.649100112915039,25.0,4842.24946907794
55,1639505940.5686595,18720.000000000004,4867.200000000001,1.5141210079193115,26.0,4841.933208355351
56,1639505940.769334,18720.000000000004,4867.200000000001,1.2574401259422303,28.0,4841.655117486072
57,1639505940.9687216,18720.000000000004,4867.200000000001,1.5428873300552368,26.0,4841.375942270252
58,1639505941.20518,18720.000000000004,4867.200000000001,1.4300361275672913,26.0,4841.024456054547
59,1639505941.368736,18720.000000000004,4867.200000000001,1.3636529296636581,27.0,4840.7959936126235
60,1639505941.5688174,18720.000000000004,4867.200000000001,1.7044193238019942,26.0,4840.489061595863
61,1639505941.7689667,18720.000000000004,4867.200000000001,2.1204195857048034,25.0,4840.106292185059
62,1639505941.968826,18720.000000000004,4867.200000000001,2.786463212966919,24.0,4839.61594890635
63,1639505942.168725,18720.000000000004,4867.200000000001,5.812285304069519,18.0,4838.756508471134
64,1639505942.36908,18720.000000000004,4867.200000000001,8.780022430419923,9.0,4837.294687176745
65,1639505942.5688252,18720.000000000004,4867.200000000001,10.03742847442627,7.0,4835.415339634403
66,1639505942.7705398,18720.000000000004,4867.200000000001,6.283605003356934,13.0,4833.769244952669
67,1639505943.0046575,18720.000000000004,4867.200000000001,4.090198719501496,17.0,4832.554899178316
68,1639505943.2042465,18720.000000000004,4867.200000000001,3.590112937986851,19.0,4831.788446262646
69,1639505943.3692176,18720.000000000004,4867.200000000001,1.5362487137317657,25.0,4831.365595468458
70,1639505943.568661,18720.000000000004,4867.200000000001,1.1600783199071885,25.0,4831.096713233391
71,1639505943.7690394,18720.000000000004,4867.200000000001,1.6933556199073792,24.0,4830.810829944072
72,1639505943.9688194,18720.000000000004,4867.200000000001,1.5672277092933655,25.0,4830.485130295965
73,1639505944.1687899,18720.000000000004,4867.200000000001,4.847241824865341,16.0,4829.843778007997
74,1639505944.3693619,18720.000000000004,4867.200000000001,4.923243582248688,12.0,4828.863935040774
75,1639505944.5790555,18720.000000000004,4867.200000000001,0.5796104148030281,25.0,4828.2869782149655
76,1639505944.7788491,18720.000000000004,4867.200000000001,1.4610148310661315,26.0,4828.083126306173
77,1639505944.9787393,18720.000000000004,4867.200000000001,1.4565892219543457,26.0,4827.791526169648
78,1639505945.178702,18720.000000000004,4867.200000000001,1.514121425151825,25.0,4827.494510279374
79,1639505945.391842,18720.000000000004,4867.200000000001,1.4676530361175537,25.0,4827.176742914339
80,1639505945.5792587,18720.000000000004,4867.200000000001,1.737610900402069,24.0,4826.876382772226
81,1639505945.7788637,18720.000000000004,4867.200000000001,1.7442491173744201,24.0,4826.528884458522
82,1639505945.979056,18720.000000000004,4867.200000000001,1.717695915699005,24.0,4826.182357239693
83,1639505946.1789029,18720.000000000004,4867.200000000001,1.6623767256736754,25.0,4825.844608579919
84,1639505946.3788521,18720.000000000004,4867.200000000001,1.4477382242679595,26.0,4825.533675981502
85,1639505946.578831,18720.000000000004,4867.200000000001,1.4477382123470306,26.0,4825.244158988731
86,1639505946.778567,18720.000000000004,4867.200000000001,1.3968445271253587,27.0,4824.960076031425
87,1639505947.00374,18720.000000000004,4867.200000000001,1.3348871171474457,27.0,4824.652519931409
88,1639505947.2051375,18720.000000000004,4867.200000000001,1.4853552222251891,27.0,4824.368525167391
89,1639505947.378842,18720.000000000004,4867.200000000001,1.5605894207954407,26.0,4824.103977832653
90,1639505947.5789278,18720.000000000004,4867.200000000001,1.522972309589386,26.0,4823.795489621572
91,1639505947.7795768,18720.000000000004,4867.200000000001,1.4610149145126343,27.0,4823.496122560909
92,1639505947.9790163,18720.000000000004,4867.200000000001,1.6070574164390563,25.0,4823.190175115807
